t [s],Q [rad],W [rad/s],A [rad/s^2],P_dot [m/s],P_ddot [m/s^2]
2.3199999999999505,"-2.5013911445130153,2.13215246873492","-0.06346325413974663,-0.130461282904123","0.08477019375196426,0.10488780256569495","0.009382024674274753,-0.06507127242044387","0.05159344322938824,0.041243600738866536"
2.3299999999999503,"-2.502627516881456,2.1295846189462586","-0.061818618422014006,-0.12839248943306356","0.0822317858866314,0.10343967355297261","0.008724129933278247,-0.06400159223563742","0.0505184113435562,0.040404694559734305"
2.33999999999995,"-2.5038319775051665,2.1270575702182812","-0.06022303118554194,-0.126352436398866","0.07977936182360314,0.10200265170987771","0.008095178504085102,-0.06294456685289614","0.04947033701940489,0.0395867676471432"
2.34999999999995,"-2.505005474245493,2.124570752336083","-0.05867483701631132,-0.12434089410991912","0.07740970846153103,0.10057711444734423","0.007494066470908206,-0.06190039045579266","0.04844834554974458,0.03878909284903452"
2.3599999999999497,"-2.5061489230889924,2.1221235998163785","-0.057172442174995036,-0.122357625985225","0.07511974206581434,0.09916340623470582","0.006919727736746583,-0.060869227879493254","0.04745159825755274,0.03801097767065678"
2.3699999999999495,"-2.507263209331375,2.1197155520329187","-0.0557143121191266,-0.12040238917298883","0.07290650279342166,0.09776184061180838","0.006371132984036263,-0.059851216673789856","0.04647929076761849,0.03725176224981454"
2.3799999999999493,"-2.508349188713969,2.117346053330286","-0.05429896912968782,-0.11847493513163267","0.07076714947193928,0.09637270206780858","0.005847288640638607,-0.05884646904014859","0.04553065137660372,0.036510817459557775"
2.389999999999949,"-2.5094076885147234,2.1150145531267763","-0.05292499003772536,-0.11657501017549025","0.06869895459812284,0.0949962478071204","0.0053472358538942414,-0.0578550736499834","0.04460493950573824,0.03578754313623443"
2.399999999999949,"-2.510439508595666,2.112720506007028","-0.05159100404712717,-0.11470235598740285","0.06669929952990925,0.09363270940437005","0.004870049475256017,-0.056877097351122397","0.043701444222082206,0.03508136642411372"
2.4099999999999486,"-2.5114454224086464,2.110463371805024","-0.05029569064901972,-0.11285671010021245","0.06476566990537279,0.09228229435952012","0.0044148370573438836,-0.05591258676880845","0.04281948284609414,0.034391740225143554"
2.4199999999999484,"-2.512426177961131,2.1082426156780403","-0.049037777624239325,-0.11103780634918638","0.06289565123901981,0.09094518755130335","0.003980737865317928,-0.054961569807515355","0.04195839961925296,0.03371814174802167"
2.429999999999948,"-2.5133824987437223,2.106057708172104","-0.047816039129562,-0.10924537529681182","0.061086924733866295,0.08962155261872841","0.003566921903877414,-0.054024057059093036","0.04111756445534361,0.03306007115285364"
2.439999999999948,"-2.5143150846210203,2.1039081252794616","-0.046629293864888996,-0.10747914463211793","0.05933726323365017,0.08831153323469451","0.003172588961427729,-0.053100043123130644","0.04029637173071536,0.03241705027770807"
2.4499999999999478,"-2.5152246126873585,2.1017933484885516","-0.045476403316923646,-0.1057388395455055","0.05764452739826727,0.08701525433062085","0.0027969676721263524,-0.052189507844211155","0.03949423916481947,0.0317886214500092"
2.4599999999999476,"-2.5161117380888967,2.0997128648269334","-0.044356270076908844,-0.10402418308090698","0.056006662000740094,0.08573282322992627","0.002439314597011879,-0.05129241747133374","0.038710606732220446,0.03117434637118289"
2.4699999999999473,"-2.5169770948134698,2.0976661668975995","-0.04326783622865511,-0.10233489646669054","0.054421692412686504,0.08446433071082164","0.0020989133246557853,-0.050408725743963205","0.0379449356432749,0.030573805066472743"
2.479999999999947,"-2.517821296449548,2.0956527529090776","-0.04221008180390784,-0.1006706994261022","0.05288772123736396,0.08320985202941786","0.0017750735920151815,-0.04953837490890704","0.037196707377586284,0.02998659490892909"
2.489999999999947,"-2.518644936915596,2.0936721266996985","-0.04118202330239968,-0.09903131046894449","0.05140292507540787,0.08196944785788501","0.0014671304259449372,-0.04868129667238957","0.036465422755207734,0.029412329696261914"
2.4999999999999467,"-2.5194485911610625,2.091723797756392","-0.04018271227331434,-0.09741644716532315","0.04996555145426715,0.08074316518106711","0.0011744433055144582,-0.0478374130909441","0.03575060106859834,0.028850638786368163"
2.5099999999999465,"-2.5202328158401834,2.0898072812283415","-0.03921123395605332,-0.09582582640252772","0.048573915863050945,0.07953103813977119","0.0008963953455731919,-0.04700663740495173","0.03505177924360353,0.02830116628860202"
2.5199999999999463,"-2.520998149959724,2.0879220979358206","-0.03826670597703186,-0.0942591646260511","0.047226398951072675,0.07833308882383107","0.0006323925013619683,-0.04618887481805627","0.034368511060102795,0.027763570299251666"
2.529999999999946,"-2.5217451155017407,2.086067774374507","-0.03734827710084221,-0.09271617806567778","0.04592144380948282,0.07714932801866624","0.00038186279453447197,-0.0453840232259432","0.03370036639160221,0.027237522187572964"
2.539999999999946,"-2.5224742180223956,2.084243842715557","-0.03645512603273345,-0.09119658294749665","0.04465755340543785,0.07597975590905622","0.00014425556023922278,-0.04459197389731543","0.033046930500417356,0.026722705920309214"
2.5499999999999456,"-2.523185947227807,2.0824498408017074","-0.035586460270572676,-0.08970009569248323","0.04343328810803881,0.0748243627506715","-8.095928464454916e-05,-0.04381261211000929","0.032407803359164856,0.026218817431678074"
2.5599999999999454,"-2.523880777527889,2.080685312139651","-0.03474151500410464,-0.08822643310282925","0.04224726332340149,0.07368312948269831","-0.00029429195237073904,-0.0430458177451005","0.03178259900322097,0.025725564022919815"
2.569999999999945,"-2.5245591685690756,2.078949805888932","-0.03391955205932748,-0.08677531253593318","0.041098147238858095,0.07255602834480371","-0.0004962334744240311,-0.042291465841220933","0.03117094492528951,0.02524266381034953"
2.579999999999945,"-2.5252215657467945,2.0772428768475772","-0.03311985888595049,-0.08534645206775014","0.03998465866884964,0.07144302340915186","-0.0006872563713135638,-0.0415494271118364","0.03057248149325309,0.024769845186957084"
2.589999999999945,"-2.5258684006985246,2.075564085434673","-0.03234174758649557,-0.0839395706452041","0.03890556497274597,0.07034407112730184","-0.0008678153020105183,-0.04081956842755207","0.029986861393306544,0.024306846334103356"
2.5999999999999446,"-2.5265000917782188,2.0739129976700954","-0.03158455398471081,-0.08255438822887733","0.03785968008923813,0.06925912081633892","-0.0010383476936892749,-0.04010175326562689","0.029413749108892374,0.0238534147470344"
2.6099999999999444,"-2.527117044512858,2.0722891851515732","-0.030847636731956854,-0.08119062592611363","0.03684586263769769,0.06818811513818526","-0.0011992743518891048,-0.039395842128669","0.02885282041934884,0.02340930679710455"
2.619999999999944,"-2.527719652041854,2.070692225029267","-0.03013037644980514,-0.0798480061153167","0.035863014107585564,0.06713099053984639","-0.0013510000515641952,-0.03870169293445112","0.028303761923979924,0.022974287313590528"
2.629999999999944,"-2.528308295539997,2.069121699978031","-0.02943217490713655,-0.07852625256179079","0.03491007713342964,0.06608767767629592","-0.001493914109446907,-0.038019161378518775","0.027766270594418982,0.022548129190573776"
2.6399999999999437,"-2.5288833446246115,2.0675771981675157","-0.028752454230748393,-0.07722509052576844","0.03398603381940785,0.06505810180111679","-0.0016283909379463406,-0.03734810127149251","0.027240053334253105,0.022130613015891136"
2.6499999999999435,"-2.529445157747559,2.0660583132302612","-0.028090656147361545,-0.0759442468627248","0.0330899041693423,0.06404218315218202","-0.0017547905812237833,-0.036688364852288304","0.026724826580246844,0.021721526722212975"
2.6599999999999433,"-2.529994082572684,2.064564644227926","-0.0274462412562588,-0.07468345011675938","0.03222074455513739,0.06303983729827134","-0.0018734592336811214,-0.03603980307906412","0.02622031590450503,0.021320665254759858"
2.669999999999943,"-2.530530456339302,2.0630957956157836","-0.02681868833089266,-0.07344243060712002","0.03137764626830685,0.06205097548196742","-0.001984729741386308,-0.0354022658990508","0.025726255647543366,0.020927830260365064"
2.679999999999943,"-2.531054606212269,2.061651377205612","-0.02620749364834653,-0.07222092050858826","0.030559734127306566,0.06107550492658826","-0.002088922086877128,-0.03477560249874405","0.02524238856259014,0.020542829788077113"
2.6899999999999427,"-2.5315668496191805,2.0602310041271","-0.025612170345582667,-0.07101865392560186","0.029766165138193097,0.060113329149320334","-0.002186343857642019,-0.034159661535561534","0.024768465477752622,0.02016547801493574"
2.6999999999999424,"-2.5320674945752017,2.058834296787881","-0.025032247801063275,-0.06983536696094571","0.02899612722596962,0.05916434823280723","-0.0022772906989202654,-0.03355429135220739","0.024304244976884798,0.01979559497584233"
2.7099999999999422,"-2.532556839996021,2.057460880832304","-0.024467271040975756,-0.06867079777884973","0.028248838004375977,0.05822845910479923","-0.002362046751037987,-0.03295934017477242","0.02384949309156569,0.019433006318010093"
2.719999999999942,"-2.5330351759993976,2.056110387099041","-0.023916800168822052,-0.06752468666313854","0.027523543607685233,0.05730555578555944","-0.0024408850718608053,-0.0323746562956497","0.023403983009575014,0.019077543060956735"
2.729999999999942,"-2.5335027841957447,2.0547824515776294","-0.02338040981735514,-0.06639677607058196","0.026819517573345646,0.05639552962782911","-0.00251406804477916,-0.03180008824217184","0.022967494798842778,0.018729041370981803"
2.7399999999999416,"-2.533959937968189,2.053476715364038","-0.02285768862221782,-0.06528681067957011","0.026136059756866,0.0554982695505924","-0.002581847772499493,-0.031235484931931738","0.022539815137661453,0.018387342351822444"
2.7499999999999414,"-2.534406902742508,2.0521928246153456","-0.02234823871594446,-0.06419453743462174","0.025472495313668058,0.05461366224741833","-0.0026444664572886534,-0.030680695815577332","0.02212073706620902,0.01805229183864294"
2.759999999999941,"-2.534843936247346,2.0509304305036116","-0.02185167524187923,-0.06311970558670088","0.02482817370326134,0.05374159239604293","-0.002702156767863082,-0.030135571007934705","0.021710059741098183,0.017723740209816406"
2.769999999999941,"-2.5352712887650837,2.049689189169014","-0.021367625886894753,-0.06206206672987511","0.024202467749223817,0.05288194284128862","-0.002755142193507053,-0.029599961408219133","0.02130758820572378,0.01740154220089553"
2.7799999999999407,"-2.5356892033737295,2.0484687616723347","-0.020895730432291038,-0.0610213748339682","0.023594772730185853,0.05203459479534531","-0.0028036373856448974,-0.02907371880990269","0.02091313317183398,0.01708555673874682"
2.7899999999999405,"-2.5360979161801693,2.04726881394685","-0.020435640322006662,-0.05999738627424889","0.023004505514218777,0.05119942798596605","-0.002847848487462801,-0.028556696001160068","0.020526510806181408,0.01677564676860277"
2.7999999999999403,"-2.5364976565451203,2.0460890167497023","-0.01998701824754693,-0.058989859857374344","0.022431103722986557,0.05037632084372688","-0.0028879734517304714,-0.02804874685621794","0.020147542532376342,0.016471679107241018"
2.80999999999994,"-2.5368886473000978,2.0449290456128097","-0.0195495377488601,-0.057998556844630324","0.021874024934341568,0.049565150637201065","-0.002924202347392117,-0.02754972641847094","0.019776054835727024,0.016173524288010072"
2.81999999999994,"-2.5372711049567065,2.0437885807933704","-0.019122882830442417,-0.0570232409719592","0.021332745920884126,0.04876579363355606","-0.0029567176551910292,-0.02705949097565294","0.019411879084576877,0.01588105642458917"
2.8299999999999397,"-2.537645239908552,2.042667307224021","-0.018706747592275134,-0.056063678467470665","0.02080676190836415,0.04797812522442682","-0.0029856945526903086,-0.02657789812785388","0.019054851348526376,0.015594153073789505"
2.8399999999999395,"-2.538011256626046,2.0415649144626964","-0.018300835874700584,-0.055119638066236466","0.02029558587872753,0.04720202006171015","-0.0030113011890925264,-0.026104806848638994","0.018704812235352322,0.015312695108896442"
2.8499999999999392,"-2.5383693538443826,2.040481096642246","-0.01790486091681569,-0.054190891022518096","0.019798747894244708,0.04643735218591826","-0.0030336989501352557,-0.025640077539783635","0.018361606731129538,0.015036566600064333"
2.859999999999939,"-2.5387197247449422,2.0394155524198485","-0.01751854502798606,-0.0532772111198739","0.019315794441481376,0.04568399513220998","-0.0030530427133903886,-0.025183572080218482","0.018025084040248874,0.014765654696112455"
2.869999999999939,"-2.5390625571303724,2.038367984926269","-0.017141619271513375,-0.05237837467897184","0.018846287823634286,0.04494182204510284","-0.0030694810944120014,-0.024735153869318127","0.017695097446625185,0.014499849513906744"
2.8799999999999386,"-2.5393980335935815,2.037338101715006","-0.016773823160456034,-0.05149416056315774","0.018389805552867018,0.044210705790704984","-0.0030831566838258402,-0.024294687865070445","0.01737150416852983,0.014239044037737859"
2.8899999999999384,"-2.5397263316808774,2.0363256147113575","-0.016414904364784634,-0.05062435018242367","0.017945939783570137,0.043490519036703576","-0.003094206275904111,-0.023862040617542678","0.017054165223247764,0.01398313401187487"
2.899999999999938,"-2.540047624049468,2.0353302401614544","-0.016064618429549773,-0.04976872749515654","0.017514296761743008,0.04278113436335655","-0.0031027610887245332,-0.02343708029777144","0.016742945300761203,0.013732017851497061"
2.909999999999938,"-2.5403620786195393,2.0343516985812853","-0.015722728503566208,-0.048927079008448136","0.017094496299178225,0.0420824243354202","-0.003108946976353132,-0.023019676722605582","0.01643771263778112,0.01348559654571369"
2.9199999999999378,"-2.5406698587211047,2.0333897147057565","-0.01538900507826605,-0.048099193776445746","0.01668617126500792,0.04139426160011954","-0.003112884633179282,-0.02260970137560532","0.016138338900923817,0.013243773576091938"
2.9299999999999375,"-2.540971123235829,2.0324440174378076","-0.015063225736200194,-0.04728486339745025","0.016288967103292785,0.040716518949774905","-0.0031146897908388683,-0.02220702742444305","0.015844699071963196,0.013006454827511312"
2.9399999999999373,"-2.541266026734006,2.03151433979762","-0.014745174908865538,-0.04648388200937724","0.0159025413667328,0.0400490694036506","-0.0031144734078695055,-0.021811529734921245","0.015556671340627003,0.012773548511457797"
2.949999999999937,"-2.541554719606878,2.030600418871943","-0.014434643643609952,-0.04569604628384159","0.01552656326277928,0.03939178627678219","-0.0031123418523359243,-0.021423084881956725","0.015274136996876362,0.012544965090640584"
2.959999999999937,"-2.5418373481944587,2.0297019957635616","-0.01413142937901975,-0.04492115541907634","0.01516071322951008,0.03874454323826266","-0.0031083970777941567,-0.021041571157712477","0.014996980332561026,0.012320617202897153"
2.9699999999999367,"-2.542114054909029,2.028818815540932","-0.013835335728516827,-0.04415901113148735","0.014804682525146218,0.038107214379449576","-0.003102736792751342,-0.020666868577017553","0.014725088548023627,0.012100419593513219"
2.9799999999999365,"-2.5423849783544714,2.02795062718801","-0.013546172272115851,-0.04340941764609193","0.014458172820048762,0.037479674269771036","-0.0030954546237744853,-0.02029885888044035","0.014458351653471544,0.01188428904950089"
2.9899999999999363,"-2.542650253441582,2.0270971835542904","-0.013263754355523051,-0.04267218168597771","0.01412089582964006,0.03686179800571081","-0.0030866402726886363,-0.019937425535031913","0.014196662386897527,0.011672144331805401"
2.999999999999936,"-2.542910011499518,2.0262582413050763","-0.012987902896799774,-0.04194711246070743","0.013792572936163768,0.03625346126351393","-0.003076379667842207,-0.019582453733063547","0.013939916122921827,0.011463906116483347"
3.009999999999936,"-2.5431643803835167,2.0254335608720027","-0.012718444199946008,-0.041234021653681986","0.013472934842688305,0.035654540351272176","-0.0030647551097823583,-0.01923383038876813","0.01368801079507203,0.011259496936652702"
3.0199999999999356,"-2.5434134845790224,2.0246229064038275","-0.01245520977527979,-0.04053272340875943","0.013161721233310943,0.03506491224612802","-0.0030518454115284095,-0.018891444133378024","0.01344084681487538,0.011058841123829653"
3.0299999999999354,"-2.543657445302346,2.023826045717509","-0.012198036166190907,-0.03984303431591903","0.012858680454444141,0.03448445464201966","-0.0030377260336488096,-0.018555185308448553","0.013198327000893224,0.010861864755026669"
3.039999999999935,"-2.5438963805979955,2.023042750249582","-0.011946764782467291,-0.039164773396367356","0.012563569186180826,0.033913045977583975","-0.0030224692142177376,-0.01822494595789416","0.012960356495177919,0.010668495599443438"
3.049999999999935,"-2.5441304054327807,2.02227279500785","-0.011701241739251599,-0.038497762086590115","0.01227615216078464,0.03335056548886209","-0.003006144094004959,-0.017900619818401665","0.012726842706737124,0.010478663071502648"
3.0599999999999348,"-2.544359631786821,2.0215159585234077","-0.011461317702024836,-0.037841824222106496","0.011996201861338117,0.03279689322418095","-0.0029888168369637397,-0.017582102308826418","0.012497695233750914,0.010292298178266678"
3.0699999999999346,"-2.544584168741562,2.0207720228030026","-0.011226847737046559,-0.037196786020256126","0.011723498248913847,0.032251910092518425","-0.0029705507461834134,-0.01726929051829771","0.012272825804794912,0.010109333478552746"
3.0799999999999343,"-2.5448041225649045,2.0200407732817496","-0.010997691167127632,-0.03656247606265122","0.01145782849594631,0.03171549788024509","-0.0029514063755518073,-0.01696208319337409","0.012052148214227199,0.009929703034297094"
3.089999999999934,"-2.5450195967935576,2.0193219987762077","-0.01077371143266115,-0.03593872527709548","0.011198986723324101,0.031187539277787026","-0.00293144163718642,-0.016660380724311866","0.011835578258782327,0.00975334236877501"
3.099999999999934,"-2.545230692312704,2.0186154914378345","-0.010554775957316244,-0.03532536691865968","0.010946773767245295,0.03066791792179029","-0.002910711904875212,-0.016364085130258534","0.01162303369063264,0.00958018842947376"
3.1099999999999337,"-2.545437507433082,2.017921046706817","-0.01034075601889084,-0.034722236550881275","0.0107009969212702,0.03015651838892025","-0.0028892701135889193,-0.016073100044044268","0.011414434144833658,0.009410179541601412"
3.1199999999999335,"-2.545640137965568,2.0172384632662976","-0.01013152662430645,-0.03412917202595953","0.010461469729219465,0.0296532262460869","-0.0028671668553055915,-0.015787330695918086","0.011209701102986127,0.00924325537689199"
3.1299999999999333,"-2.5458386772933554,2.0165675429969974","-0.009926966389365072,-0.033546013465012646","0.010228011747068938,0.029157928047344513","-0.0028444504711768333,-0.015506683896969726","0.01100875782711752,0.0090793569119604"
3.139999999999933,"-2.5460332164418054,2.0159080909322444","-0.0097269574224993,-0.03297260323765274","0.010000448343288561,0.02867051136799528","-0.0028211671402509834,-0.015231068021799417","0.010811529319451896,0.008918426396861604"
3.149999999999933,"-2.5462238441460583,2.015259915213414","-0.009531385212639689,-0.03240878594152375","0.009778610492980629,0.028190864806449466","-0.002797360964891915,-0.014960392990821731","0.010617942270131263,0.008760407316466119"
3.1599999999999326,"-2.546410646916481,2.0146228270457875","-0.009340138521149722,-0.03185440838131839","0.00956233457449829,0.027718878010268188","-0.0027730740528721914,-0.014694570252126437","0.01042792500902676,0.008605244362705827"
3.1699999999999324,"-2.5465937091020283,2.0139966406548346","-0.009153109277357192,-0.031309319547646305","0.009351462189626562,0.02725444168360419","-0.0027483465964569143,-0.014433512762941145","0.010241407464434676,0.008452883399580524"
3.179999999999932,"-2.5467731129515827,2.013381173242921","-0.00897019247773153,-0.03077337059566664","0.009145839981283061,0.0267974475989831","-0.002723216948494235,-0.01417713497078261","0.01005832111933795,0.008303271432678689"
3.189999999999932,"-2.546948938673357,2.0127762449464517","-0.008791286088707155,-0.030246414823484946","0.008945319451218748,0.026347788609084658","-0.002697721695564286,-0.013925352794389181","0.00987859896576086,0.008156356581237192"
3.199999999999932,"-2.5471212644924126,2.0121816787934446","-0.008616290952780742,-0.02972830765035167","0.008749756796320632,0.025905358656663765","-0.002671895728391082,-0.013678083604386737","0.009702175466944282,0.008012088049144342"
3.2099999999999316,"-2.5472901667063663,2.01159730066155","-0.008445110697684033,-0.029218906594736648","0.008559012754835517,0.02547005278075116","-0.0026457723096589398,-0.013435246203716535","0.009528986522353051,0.007870416095452349"
3.2199999999999314,"-2.547455719739348,2.0110229392365047","-0.008277651649078604,-0.028718071252254763","0.008372952430271407,0.025041767124094186","-0.002619383139099983,-0.013196760808073273","0.009358969419177215,0.007731292010967776"
3.229999999999931,"-2.5476179961942638,2.0104584259710356","-0.008113822745805323,-0.028225663273455215","0.00819144516366401,0.02462039893997751","-0.0025927584162814443,-0.012962549026044795","0.009192062808179607,0.0075946680893367235"
3.239999999999931,"-2.547777066903431,2.009903595044205","-0.00795353545835813,-0.027741546341536343","0.008014364372359695,0.024205846595943527","-0.00256592690088613,-0.01273253383931245","0.009028206659246182,0.0074604976042357335"
3.2499999999999307,"-2.5479330009776313,2.009358283321207","-0.007796703710011701,-0.02726558614988688","0.007841587417321483,0.02379800958247327","-0.002538915970732904,-0.012506639582715943","0.00886734223183481,0.007328734785841175"
3.2599999999999305,"-2.5480858658536434,2.008822330313611","-0.007643243800603,-0.02679765037981317","0.007672995470435024,0.02339678850368543","-0.00251175167765214,-0.012284791924368437","0.008709412040266915,0.007199334792988147"
3.2699999999999303,"-2.5482357273403036,2.008295578140054","-0.007493074333016314,-0.0263376086778448","0.007508473379334316,0.023002085098418584","-0.0024844588011122986,-0.012066917845692584","0.008554359822498603,0.0070722536979349986"
3.27999999999993,"-2.5483826496631456,2.0077778714873844","-0.0073461161420989365,-0.02588533263348662","0.007347909545868862,0.022613802217908832","-0.0024570608999215865,-0.011852945621621811","0.008402130505984364,0.0069474484558480504"
3.28999999999993,"-2.5485266955076638,2.007269057572257","-0.007202292225908309,-0.025440695756363162","0.00719119580953136,0.022231843856173016","-0.0024295803618643204,-0.011642804800617844","0.008252670185752882,0.006824876893237835"
3.2999999999999297,"-2.5486679260612517,2.0067689861031774","-0.007061527679389812,-0.025003573453983054","0.0070382273259248585,0.021856115119005433","-0.0024020384515220927,-0.011436426185016137","0.008105926085894236,0.006704497677691396"
3.3099999999999294,"-2.5488064010538576,2.0062775092429956","-0.006923749630286793,-0.02457384300908185","0.006888902455150964,0.021486522245060074","-0.002374455356178225,-0.011233741811309303","0.007961846535917125,0.006586270305445637"
3.3199999999999292,"-2.5489421787974,2.005794481571852","-0.006788887177109213,-0.02415138355718806","0.0067431226588789694,0.02112297259468943","-0.0023468502300399677,-0.01103468493056413","0.007820380943989697,0.006470155078005775"
3.329999999999929,"-2.549075316223983,2.0053197600505692","-0.006656871329185717,-0.023736076064139567","0.006600792396174847,0.02076537465242477","-0.0023192412367452494,-0.010839189988931259","0.007681479771188005,0.006356113085019619"
3.339999999999929,"-2.5492058689229604,2.0048532039844944","-0.006527634948848717,-0.023327803303736457","0.006461819016849978,0.02041363802015541","-0.002291645590205006,-0.01064719260837182","0.007545094501382233,0.006244106185692422"
3.3499999999999286,"-2.5493338911768677,2.0043946749877857","-0.006401112695380479,-0.02292644983544349","0.006326112673411855,0.020067673414648463","-0.0022640795939388456,-0.01045862956745813","0.007411177621043909,0.006134096990074336"
3.3599999999999284,"-2.5494594359962877,2.003944036948146","-0.006277240970993013,-0.022531901981980903","0.006193586219373334,0.019727392673129406","-0.0022365586787938905,-0.010273438782340466","0.007279682592321055,0.006026048846453291"
3.369999999999928,"-2.5495825551536537,2.0035011559919984","-0.006155957868296117,-0.02214404780737411","0.006064155134844774,0.01939270873033968","-0.0022090974394060633,-0.010091559287886576","0.007150563834006247,0.005919925815917602"
3.379999999999928,"-2.5497032992160533,2.0030659004501032","-0.00603720311997287,-0.02176277709476775","0.005937737416162378,0.019063535630317922","-0.002181709669007893,-0.009912931219082589","0.007023776689260501,0.005815692665541194"
3.3899999999999277,"-2.5498217175770432,2.0026381408236165","-0.005920918049496816,-0.021387981324338962","0.005814253523802688,0.01873978852143944","-0.0021544083931318197,-0.009737495792363816","0.006899277420578253,0.005713314847815003"
3.3999999999999275,"-2.549937858487528,2.0022177497505838","-0.005807045524255019,-0.02101955365163228","0.005693626262089876,0.018421383635334","-0.0021272059017722836,-0.009565195287573172","0.006777023163506101,0.005612758486288617"
3.4099999999999273,"-2.5500517690857145,2.00180460197287","-0.005695529909315972,-0.020657388885683744","0.005575780746952341,0.018108238297426915","-0.002100113780583491,-0.0093959730296366","0.006656971933878932,0.0055139903592307206"
3.419999999999927,"-2.550163495426184,2.0013985743035225","-0.005586317023479359,-0.020301383467380585","0.005460644291830647,0.01780027091515782","-0.0020731429405945515,-0.00922977337080562","0.006539082585176797,0.005416977889438861"
3.429999999999927,"-2.5502730825081086,2.000999545594562","-0.005479354096218703,-0.019951435448006993","0.005348146363032817,0.017497400968679692","-0.0020463036469936754,-0.009066541672904344","0.006423314803306727,0.0053216891249418"
3.4399999999999267,"-2.550380574302637,2.0006073967052043","-0.005374589726434608,-0.019607444467901428","0.005238218489204759,0.01719954900527824","-0.0020196055466327393,-0.008906224289956055","0.0063096290764886875,0.005228092729053382"
3.4499999999999265,"-2.550486013779482,2.0002220104705013","-0.00527197384222491,-0.019269311735151194","0.005130794210484899,0.016906636637511727","-0.0019930576945656094,-0.008748768550859352","0.006197986686745979,0.005136157966313005"
